Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_730.jpg,0,0,0,0,99.66999,85.58897,0.000234626,45.83778,5.70E-07
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_779.jpg,0,0,0,0,99.66999,85.58897,0.000234589,45.83778,9.44E-08
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_829.jpg,0,0,0,0,99.66999,85.58897,0.000234374,45.83778,-5.11E-07
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_877.jpg,0,0,0,0,99.66999,85.58897,0.000234177,45.83778,-8.79E-07
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_927.jpg,0,0,0,0,99.66999,85.58897,0.000233803,45.83778,-1.38E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_24_977.jpg,0,0,0,0,99.66999,85.58897,0.000233766,45.83778,-1.85E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_024.jpg,0,0,0,0,99.66999,85.58897,0.00023337,45.83778,-2.01E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_073.jpg,0,0,0,0,99.66999,85.58897,0.000233293,45.83778,-2.39E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_121.jpg,0,0,0,0,99.66999,85.58897,0.000233213,45.83778,-2.19E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_172.jpg,0,0,0,0,99.66999,85.58897,0.000233092,45.83778,-1.89E-06
/Volumes/Gan-Tu/Udacity/Udcaity Nanodegree Program/Robotics/Introduction to Robotics/Project/RoboND-Rover-Project-master/data/IMG/robocam_2017_05_30_23_51_25_224.jpg,0,0,0,0,99.66999,85.58897,0.000232952,45.83778,-1.55E-06
